Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
5,5,2.0,0.5,0.16666666666666666,1.0,0.8,0.9,0.22,0.00028845295310020447,2
10,22,4.4,0.4888888888888889,0,0.4888888888888889,1.0,0.4888888888888889,0.0,0.0005879625678062439,1
15,45,6.0,0.42857142857142855,0.24074074074074073,0.6972222222222222,0.7111111111111111,0.6952380952380952,0.20222222222222216,0.0008820891380310059,2
20,93,9.3,0.48947368421052634,0,0.48947368421052634,1.0,0.48947368421052634,0.0,0.0010912157595157623,1
25,141,11.28,0.47,0,0.47,1.0,0.47,0.0,0.0013403333723545074,1
30,204,13.6,0.4689655172413793,0,0.4689655172413793,1.0,0.4689655172413793,0.0,0.0020476169884204865,1
35,266,15.2,0.4470588235294118,0.176,0.6816666666666666,0.8345864661654135,0.719327731092437,0.16261518457798624,0.0023401640355587006,2
40,357,17.85,0.4576923076923077,0.1536050156739812,0.6936856247201075,0.8627450980392157,0.7410256410256411,0.15880469834992814,0.0022125244140625,2
45,442,19.644444444444446,0.44646464646464645,0,0.44646464646464645,1.0,0.44646464646464645,0.0,0.003790728747844696,1
50,526,21.04,0.4293877551020408,0,0.4293877551020408,1.0,0.4293877551020408,0.0,0.004659891128540039,1
55,620,22.545454545454547,0.4175084175084175,0,0.4175084175084175,1.0,0.4175084175084175,0.0,0.0025306791067123413,1
60,735,24.5,0.4152542372881356,0,0.4152542372881356,1.0,0.4152542372881356,0.0,0.00337253138422966,1
65,860,26.46153846153846,0.41346153846153844,0.14109848484848486,0.6952895894428153,0.8267441860465117,0.7778846153846154,0.3266894267171445,0.002911798655986786,2
70,1035,29.571428571428573,0.42857142857142855,0,0.42857142857142855,1.0,0.42857142857142855,0.0,0.0027518458664417267,1
75,1179,31.44,0.42486486486486486,0.17824074074074073,0.6949596896405408,0.8040712468193384,0.7254054054054054,0.24992032609110088,0.0023177452385425568,2
80,1371,34.275,0.43386075949367087,0.18734335839598998,0.6860939428333523,0.7819110138584975,0.7496835443037975,0.2793562706921162,0.002679668366909027,2
85,1590,37.411764705882355,0.44537815126050423,0,0.44537815126050423,1.0,0.44537815126050423,0.0,0.006218086928129196,1
90,1808,40.17777777777778,0.45143570536828964,0,0.45143570536828964,1.0,0.45143570536828964,0.0,0.00761403888463974,1
95,2008,42.27368421052632,0.4497200447928332,0,0.4497200447928332,1.0,0.4497200447928332,0.0,0.006462812423706055,1
100,2198,43.96,0.444040404040404,0,0.444040404040404,1.0,0.444040404040404,0.0,0.015812307596206665,1
105,2442,46.51428571428571,0.4472527472527473,0,0.4472527472527473,1.0,0.4472527472527473,1.1102230246251565e-16,0.007368486374616623,1
110,2719,49.43636363636364,0.4535446205170976,0,0.4535446205170976,1.0,0.4535446205170976,0.0,0.005352295935153961,1
115,3038,52.834782608695654,0.4634630053394355,0,0.4634630053394355,1.0,0.4634630053394355,0.0,0.011341381818056107,1
120,3334,55.56666666666667,0.4669467787114846,0,0.4669467787114846,1.0,0.4669467787114846,0.0,0.005321316421031952,1
125,3636,58.176,0.46916129032258064,0,0.46916129032258064,1.0,0.46916129032258064,0.0,0.005095701664686203,1
130,3965,61.0,0.4728682170542636,0,0.4728682170542636,1.0,0.4728682170542636,0.0,0.0054546743631362915,1
135,4235,62.74074074074074,0.46821448313985625,0,0.46821448313985625,1.0,0.46821448313985625,0.0,0.005948569625616074,1
140,4505,64.35714285714286,0.4630010277492292,0,0.4630010277492292,1.0,0.4630010277492292,0.0,0.012780297547578812,1
145,4929,67.98620689655172,0.4721264367816092,0,0.4721264367816092,1.0,0.4721264367816092,0.0,0.00997389480471611,1
150,5280,70.4,0.47248322147651006,0,0.47248322147651006,1.0,0.47248322147651006,0.0,0.008770186454057693,1
155,5680,73.29032258064517,0.47591118558860496,0,0.47591118558860496,1.0,0.47591118558860496,0.0,0.008200671523809433,1
160,5968,74.6,0.4691823899371069,0,0.4691823899371069,1.0,0.4691823899371069,0.0,0.00744987279176712,1
165,6387,77.41818181818182,0.4720620842572062,0,0.4720620842572062,1.0,0.4720620842572062,0.0,0.011635884642601013,1
170,6819,80.2235294117647,0.4746954403063,0,0.4746954403063,1.0,0.4746954403063,0.0,0.009787678718566895,1
175,7263,83.00571428571429,0.47704433497536947,0,0.47704433497536947,1.0,0.47704433497536947,0.0,0.008723750710487366,1
180,7659,85.1,0.47541899441340785,0,0.47541899441340785,1.0,0.47541899441340785,0.0,0.009426865726709366,1
185,8142,88.02162162162162,0.4783783783783784,0,0.4783783783783784,1.0,0.4783783783783784,0.0,0.02681891620159149,1
190,8589,90.41052631578947,0.4783625730994152,0,0.4783625730994152,1.0,0.4783625730994152,0.0,0.012469116598367691,1
195,8988,92.18461538461538,0.47517842981760505,0,0.47517842981760505,1.0,0.47517842981760505,0.0,0.018497906625270844,1
200,9536,95.36,0.47919597989949747,0,0.47919597989949747,1.0,0.47919597989949747,0.0,0.011126648634672165,1
205,9948,97.05365853658536,0.4757532281205165,0,0.4757532281205165,1.0,0.4757532281205165,0.0,0.01155724748969078,1
210,10393,98.98095238095237,0.47359307359307357,0,0.47359307359307357,1.0,0.47359307359307357,0.0,0.011598404496908188,1
215,10916,101.54418604651163,0.47450554227341885,0,0.47450554227341885,1.0,0.47450554227341885,0.0,0.01238829642534256,1
220,11502,104.56363636363636,0.47745952677459524,0,0.47745952677459524,1.0,0.47745952677459524,0.0,0.019935622811317444,1
225,12063,107.22666666666667,0.47869047619047617,0,0.47869047619047617,1.0,0.47869047619047617,0.0,0.013639919459819794,1
230,12573,109.33043478260869,0.477425479400038,0,0.477425479400038,1.0,0.477425479400038,0.0,0.013562873005867004,1
235,13215,112.46808510638297,0.48063284233497,0,0.48063284233497,1.0,0.48063284233497,0.0,0.014181297272443771,1
240,13979,116.49166666666666,0.48741283124128315,0,0.48741283124128315,1.0,0.48741283124128315,0.0,0.015396777540445328,1
245,14529,118.60408163265306,0.4860823017731683,0,0.4860823017731683,1.0,0.4860823017731683,0.0,0.016079314053058624,1
250,15135,121.08,0.48626506024096383,0,0.48626506024096383,1.0,0.48626506024096383,0.0,0.016009163111448288,1
