Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
5,10,4.0,1.0,0,1.0,1.0,1.0,0.0,0.0009376406669616699,1
10,39,7.8,0.8666666666666667,0.5555555555555556,0,0.8717948717948718,0.8444444444444444,-0.008218277449046681,0.004384610801935196,2
15,61,8.133333333333333,0.580952380952381,0.21428571428571427,0,0.7868852459016393,0.8095238095238095,0.027277613544746063,0.012345153838396072,5
20,74,7.4,0.3894736842105263,0.3684210526315789,0,0.43243243243243246,0.7578947368421053,0.03140978816654492,0.029796022921800613,12
25,84,6.72,0.28,0.16666666666666666,0,0.38095238095238093,0.8133333333333334,0.08878968253968254,0.03889348730444908,17
30,150,10.0,0.3448275862068966,0.20689655172413793,0,0.38666666666666666,0.7701149425287356,0.016244444444444398,0.05575175583362579,19
35,198,11.314285714285715,0.33277310924369746,0.17647058823529413,0,0.4797979797979798,0.8100840336134454,0.07640801958983777,0.06873181089758873,21
40,173,8.65,0.22179487179487178,0.15333333333333332,0,0.23699421965317918,0.8256410256410256,0.08363126065020547,0.08342033252120018,31
45,267,11.866666666666667,0.2696969696969697,0.22727272727272727,0,0.46441947565543074,0.8262626262626263,0.015058424160810288,0.14149105548858643,28
50,197,7.88,0.16081632653061226,0.10087719298245613,0,0.25888324873096447,0.8685714285714285,0.10413821536241591,0.17744450271129608,39
