Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
5,10,4.0,1.0,0,1.0,1.0,1.0,0.0,0.0005409999999983484,1
10,45,9.0,1.0,0,1.0,1.0,1.0,0.0,0.00041850000000209775,1
15,64,8.533333333333333,0.6095238095238096,0,0.6095238095238096,1.0,0.6095238095238096,0.0,0.0005433999999979733,1
20,164,16.4,0.8631578947368421,0,0.8631578947368421,1.0,0.8631578947368421,0.0,0.0009522000000004027,1
25,208,16.64,0.6933333333333334,0,0.6933333333333334,1.0,0.6933333333333334,0.0,0.0006574000000014735,1
30,312,20.8,0.7172413793103448,0,0.7172413793103448,1.0,0.7172413793103448,0.0,0.0006686999999985233,1
35,329,18.8,0.5529411764705883,0,0.5529411764705883,1.0,0.5529411764705883,0.0,0.004364699999996446,1
40,508,25.4,0.6512820512820513,0,0.6512820512820513,1.0,0.6512820512820513,0.0,0.0013896999999971626,1
45,492,21.866666666666667,0.49696969696969695,0,0.49696969696969695,1.0,0.49696969696969695,1.1102230246251565e-16,0.0023216999999959853,1
50,723,28.92,0.590204081632653,0,0.590204081632653,1.0,0.590204081632653,0.0,0.002324599999994348,1
55,700,25.454545454545453,0.4713804713804714,0,0.4713804713804714,1.0,0.4713804713804714,1.1102230246251565e-16,0.006507999999996628,1
60,934,31.133333333333333,0.5276836158192091,0,0.5276836158192091,1.0,0.5276836158192091,0.0,0.004648700000004169,1
65,1075,33.07692307692308,0.5168269230769231,0,0.5168269230769231,1.0,0.5168269230769231,0.0,0.0041855999999995674,1
70,1095,31.285714285714285,0.453416149068323,0,0.453416149068323,1.0,0.453416149068323,0.0,0.0038224000000042224,1
75,1335,35.6,0.4810810810810811,0,0.4810810810810811,1.0,0.4810810810810811,0.0,0.004637400000000014,1
80,1545,38.625,0.4889240506329114,0,0.4889240506329114,1.0,0.4889240506329114,0.0,0.005795200000001444,1
85,1297,30.51764705882353,0.3633053221288515,0,0.3633053221288515,1.0,0.3633053221288515,0.0,0.004931200000001468,1
90,1878,41.733333333333334,0.4689138576779026,0,0.4689138576779026,1.0,0.4689138576779026,1.1102230246251565e-16,0.00519769999999653,1
95,1711,36.02105263157895,0.3832026875699888,0,0.3832026875699888,1.0,0.3832026875699888,0.0,0.0036431999999990694,1
100,2020,40.4,0.4080808080808081,0,0.4080808080808081,1.0,0.4080808080808081,0.0,0.005529299999999182,1
105,1947,37.08571428571429,0.3565934065934066,0,0.3565934065934066,1.0,0.3565934065934066,0.0,0.007571500000004505,1
110,2376,43.2,0.3963302752293578,0,0.3963302752293578,1.0,0.3963302752293578,0.0,0.006314899999999568,1
115,2726,47.40869565217391,0.41586575133485887,0,0.41586575133485887,1.0,0.41586575133485887,0.0,0.006983500000004028,1
120,2832,47.2,0.39663865546218485,0,0.39663865546218485,1.0,0.39663865546218485,0.0,0.007718099999998174,1
125,2551,40.816,0.3291612903225806,0,0.3291612903225806,1.0,0.3291612903225806,0.0,0.007141699999998252,1
130,2624,40.36923076923077,0.3129397734048897,0,0.3129397734048897,1.0,0.3129397734048897,0.0,0.005353799999994635,1
135,2591,38.385185185185186,0.28645660585959093,0,0.28645660585959093,1.0,0.28645660585959093,1.1102230246251565e-16,0.00621720000000181,1
140,3394,48.48571428571429,0.3488180883864337,0,0.3488180883864337,1.0,0.3488180883864337,0.0,0.007581699999995806,1
145,3003,41.42068965517242,0.2876436781609195,0.11327975507079985,0.46793256494749036,0.8028638028638029,0.6748084291187739,0.30104738196646286,0.006881499999998653,2
150,3711,49.48,0.3320805369127517,0,0.3320805369127517,1.0,0.3320805369127517,0.0,0.007849700000001292,1
155,4368,56.36129032258064,0.3659824046920821,0,0.3659824046920821,1.0,0.3659824046920821,0.0,0.01007640000000265,1
160,4516,56.45,0.3550314465408805,0,0.3550314465408805,1.0,0.3550314465408805,0.0,0.013350400000000207,1
165,3833,46.46060606060606,0.28329637841832966,0,0.28329637841832966,1.0,0.28329637841832966,0.0,0.008588899999999455,1
170,4390,51.64705882352941,0.30560389836407936,0,0.30560389836407936,1.0,0.30560389836407936,0.0,0.010018800000004546,1
175,4092,46.76571428571429,0.26876847290640393,0,0.26876847290640393,1.0,0.26876847290640393,0.0,0.0077606999999986215,1
180,4496,49.955555555555556,0.2790813159528243,0.10799831909230985,0.4557764698684416,0.8285142348754448,0.6265052762259467,0.23532441549467456,0.052129600000000664,2
185,4538,49.05945945945946,0.2666274970622797,0.05411655874190564,0.5520447184390411,0.9226531511679154,0.6064629847238543,0.26191439858238375,0.018568600000001823,2
190,5417,57.02105263157895,0.3016986911723754,0,0.3016986911723754,1.0,0.3016986911723754,0.0,0.018060800000000654,1
195,5305,54.41025641025641,0.28046523922812583,0,0.28046523922812583,1.0,0.28046523922812583,0.0,0.012957700000001182,1
200,6038,60.38,0.3034170854271357,0,0.3034170854271357,1.0,0.3034170854271357,0.0,0.014831399999998496,1
205,6297,61.43414634146342,0.3011477761836442,0,0.3011477761836442,1.0,0.3011477761836442,0.0,0.015793500000000904,1
210,5379,51.22857142857143,0.24511278195488723,0,0.24511278195488723,1.0,0.24511278195488723,0.0,0.014359200000001238,1
215,6445,59.95348837209303,0.28015648772006085,0,0.28015648772006085,1.0,0.28015648772006085,0.0,0.021498299999997528,1
220,5768,52.43636363636364,0.23943545039435452,0,0.23943545039435452,1.0,0.23943545039435452,0.0,0.018535200000002305,1
225,6809,60.52444444444444,0.2701984126984127,0,0.2701984126984127,1.0,0.2701984126984127,1.1102230246251565e-16,0.03324489999999969,1
230,6140,53.391304347826086,0.23314980064552876,0,0.23314980064552876,1.0,0.23314980064552876,0.0,0.023437000000001262,1
235,6477,55.12340425531915,0.23557010365521003,0,0.23557010365521003,1.0,0.23557010365521003,0.0,0.016705600000001652,1
240,7220,60.166666666666664,0.25174337517433754,0,0.25174337517433754,1.0,0.25174337517433754,0.0,0.0225519000000034,1
245,7766,63.39591836734694,0.259819337571094,0,0.259819337571094,1.0,0.259819337571094,0.0,0.024897099999996897,1
250,7887,63.096,0.25339759036144577,0.07148407148407149,0.5224673057608262,0.906681881577279,0.5368995983935743,0.18757616477926312,0.0339157999999955,2
