Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
5,9,3.6,0.9,0,0.9,1.0,0.9,0.0,0.0012360066175460815
10,20,4.0,0.4444444444444444,0.08,0.9,0.9,0.9111111111111111,0.4,0.0035565458238124847
15,30,4.0,0.2857142857142857,0.04,0.9,0.9,0.9428571428571428,0.5666666666666667,0.007180936634540558
20,40,4.0,0.21052631578947367,0.02666666666666667,0.9,0.9,0.9578947368421052,0.65,0.011311676353216171
25,50,4.0,0.16666666666666666,0.02,0.9,0.9,0.9666666666666667,0.7,0.019232530146837234
30,60,4.0,0.13793103448275862,0.016,0.9,0.9,0.9724137931034482,0.7333333333333333,0.02338433265686035
35,70,4.0,0.11764705882352941,0.013333333333333334,0.9000000000000001,0.9,0.9764705882352941,0.757142857142857,0.028589453548192978
40,80,4.0,0.10256410256410256,0.011428571428571429,0.9,0.9,0.9794871794871794,0.7750000000000001,0.03224647417664528
45,90,4.0,0.09090909090909091,0.01,0.8999999999999999,0.9,0.9818181818181818,0.7888888888888891,0.03531637787818909
50,100,4.0,0.08163265306122448,0.008888888888888889,0.9,0.9,0.9836734693877551,0.7999999999999999,0.031768590211868286
55,110,4.0,0.07407407407407407,0.008,0.9,0.9,0.9851851851851852,0.8090909090909091,0.0398002564907074
60,120,4.0,0.06779661016949153,0.007272727272727273,0.9,0.9,0.9864406779661017,0.8166666666666665,0.05085097253322601
65,130,4.0,0.0625,0.006666666666666667,0.9000000000000001,0.9,0.9875,0.8230769230769228,0.06371671706438065
70,140,4.0,0.057971014492753624,0.006153846153846154,0.9000000000000001,0.9,0.9884057971014493,0.8285714285714287,0.1385299451649189
75,150,4.0,0.05405405405405406,0.005714285714285714,0.9000000000000001,0.9,0.9891891891891892,0.8333333333333336,0.09419118613004684
80,160,4.0,0.05063291139240506,0.005333333333333333,0.9,0.9,0.9898734177215189,0.8375000000000002,0.11562550812959671
85,170,4.0,0.047619047619047616,0.005,0.9,0.9,0.9904761904761905,0.8411764705882351,0.13237236067652702
90,180,4.0,0.0449438202247191,0.004705882352941176,0.8999999999999999,0.9,0.9910112359550561,0.8444444444444448,0.15371551737189293
95,190,4.0,0.0425531914893617,0.0044444444444444444,0.8999999999999999,0.9,0.9914893617021276,0.8473684210526312,0.17822111025452614
100,200,4.0,0.04040404040404041,0.004210526315789474,0.8999999999999998,0.9,0.9919191919191919,0.8499999999999998,0.20429952070116997
105,210,4.0,0.038461538461538464,0.004,0.8999999999999998,0.9,0.9923076923076923,0.8523809523809528,0.23245903849601746
110,220,4.0,0.03669724770642202,0.0038095238095238095,0.8999999999999997,0.9,0.9926605504587156,0.8545454545454549,0.2639157399535179
115,230,4.0,0.03508771929824561,0.0036363636363636364,0.8999999999999997,0.9,0.9929824561403509,0.8565217391304345,0.2981073670089245
120,240,4.0,0.03361344537815126,0.0034782608695652175,0.9,0.9,0.9932773109243698,0.8583333333333336,0.3343275673687458
125,250,4.0,0.03225806451612903,0.0033333333333333335,0.9,0.9,0.9935483870967742,0.8599999999999998,0.3735225833952427
130,260,4.0,0.031007751937984496,0.0032,0.8999999999999999,0.9,0.993798449612403,0.8615384615384618,0.41628437489271164
135,270,4.0,0.029850746268656716,0.003076923076923077,0.8999999999999999,0.9,0.9940298507462687,0.8629629629629633,0.5114612132310867
140,280,4.0,0.02877697841726619,0.002962962962962963,0.8999999999999998,0.9,0.9942446043165467,0.8642857142857139,0.5705634504556656
145,290,4.0,0.027777777777777776,0.002857142857142857,0.8999999999999998,0.9,0.9944444444444445,0.8655172413793107,0.6183724068105221
150,300,4.0,0.026845637583892617,0.002758620689655172,0.8999999999999998,0.9,0.9946308724832215,0.8666666666666664,0.6692723520100117
155,310,4.0,0.025974025974025976,0.0026666666666666666,0.8999999999999997,0.9,0.9948051948051948,0.8677419354838704,0.7242572829127312
160,320,4.0,0.025157232704402517,0.0025806451612903226,0.9,0.9,0.9949685534591195,0.8687499999999996,0.778616413474083
165,330,4.0,0.024390243902439025,0.0025,0.9,0.9,0.9951219512195122,0.8696969696969701,0.833893109112978
170,340,4.0,0.023668639053254437,0.0024242424242424242,0.8999999999999999,0.9,0.9952662721893492,0.8705882352941169,0.9585510455071926
175,350,4.0,0.022988505747126436,0.002352941176470588,0.8999999999999999,0.9,0.9954022988505747,0.8714285714285711,0.9263088963925838
180,360,4.0,0.0223463687150838,0.002285714285714286,0.8999999999999999,0.9,0.9955307262569832,0.8722222222222218,0.9705046638846397
185,370,4.0,0.021739130434782608,0.0022222222222222222,0.8999999999999999,0.9,0.9956521739130435,0.872972972972973,1.0176538117229939
190,380,4.0,0.021164021164021163,0.002162162162162162,0.8999999999999999,0.9,0.9957671957671957,0.8736842105263164,1.065609097480774
195,390,4.0,0.020618556701030927,0.002105263157894737,0.8999999999999998,0.9,0.9958762886597938,0.874358974358974,0.6209294460713863
200,400,4.0,0.020100502512562814,0.0020512820512820513,0.9,0.9,0.9959798994974874,0.8749999999999994,0.7166388630867004
205,410,4.0,0.0196078431372549,0.002,0.8999999999999999,0.9,0.996078431372549,0.8756097560975602,0.8164297305047512
210,420,4.0,0.019138755980861243,0.001951219512195122,0.8999999999999999,0.9,0.9961722488038277,0.8761904761904772,0.9185589924454689
215,430,4.0,0.018691588785046728,0.0019047619047619048,0.8999999999999999,0.9,0.9962616822429906,0.8767441860465107,1.107550721615553
220,440,4.0,0.0182648401826484,0.0018604651162790699,0.8999999999999999,0.9,0.9963470319634703,0.8772727272727265,1.1448374427855015
225,450,4.0,0.017857142857142856,0.0018181818181818182,0.8999999999999998,0.9,0.9964285714285714,0.8777777777777778,1.2626261673867702
230,460,4.0,0.017467248908296942,0.0017777777777777779,0.8999999999999998,0.9,0.9965065502183406,0.8782608695652182,1.3843140378594398
235,470,4.0,0.017094017094017096,0.0017391304347826088,0.8999999999999998,0.9,0.9965811965811966,0.8787234042553186,1.511802900582552
240,480,4.0,0.016736401673640166,0.001702127659574468,0.9,0.9,0.9966527196652719,0.879166666666667,1.6490659527480602
245,490,4.0,0.01639344262295082,0.0016666666666666668,0.9,0.9,0.9967213114754099,0.8795918367346934,1.8799185529351234
250,500,4.0,0.01606425702811245,0.0016326530612244899,0.9,0.9,0.9967871485943776,0.879999999999999,1.9312405325472355
255,510,4.0,0.015748031496062992,0.0016,0.9,0.9,0.9968503937007874,0.8803921568627454,2.0787778086960316
260,520,4.0,0.015444015444015444,0.001568627450980392,0.8999999999999999,0.9,0.9969111969111969,0.8807692307692313,2.2379178665578365
265,530,4.0,0.015151515151515152,0.0015384615384615385,0.8999999999999999,0.9,0.996969696969697,0.8811320754716987,2.4099486358463764
270,540,4.0,0.01486988847583643,0.0015094339622641509,0.8999999999999999,0.9,0.9970260223048327,0.8814814814814805,2.6437009312212467
275,550,4.0,0.014598540145985401,0.0014814814814814814,0.8999999999999999,0.9,0.997080291970803,0.8818181818181813,2.7448187060654163
280,560,4.0,0.014336917562724014,0.0014545454545454545,0.9000000000000001,0.9,0.9971326164874552,0.8821428571428577,2.918571885675192
285,570,4.0,0.014084507042253521,0.0014285714285714286,0.9,0.9,0.9971830985915493,0.8824561403508784,3.1163126714527607
290,580,4.0,0.01384083044982699,0.0014035087719298245,0.9,0.9,0.9972318339100346,0.8827586206896545,3.368520751595497
295,590,4.0,0.013605442176870748,0.001379310344827586,0.9,0.9,0.9972789115646259,0.8830508474576263,3.517684333026409
300,600,4.0,0.013377926421404682,0.0013559322033898306,0.9,0.9,0.9973244147157191,0.883333333333333,3.6964092515408993
305,610,4.0,0.013157894736842105,0.0013333333333333333,0.9,0.9,0.9973684210526316,0.8836065573770492,3.9705563485622406
310,620,4.0,0.012944983818770227,0.0013114754098360656,0.8999999999999999,0.9,0.997411003236246,0.8838709677419352,4.134819123893976
315,630,4.0,0.012738853503184714,0.0012903225806451613,0.8999999999999999,0.9,0.9974522292993631,0.8841269841269833,4.446602623909712
320,640,4.0,0.012539184952978056,0.0012698412698412698,0.9000000000000001,0.9,0.9974921630094044,0.8843749999999991,4.577704146504402
325,650,4.0,0.012345679012345678,0.00125,0.9000000000000001,0.9,0.9975308641975309,0.8846153846153847,4.901976224035025
330,660,4.0,0.0121580547112462,0.0012307692307692308,0.9000000000000001,0.9,0.9975683890577508,0.8848484848484841,5.095768917351961
335,670,4.0,0.011976047904191617,0.0012121212121212121,0.9,0.9,0.9976047904191617,0.8850746268656727,5.367758896201849
340,680,4.0,0.011799410029498525,0.0011940298507462687,0.9,0.9,0.9976401179941002,0.8852941176470597,5.675769791007042
345,690,4.0,0.011627906976744186,0.001176470588235294,0.9,0.9,0.9976744186046511,0.8855072463768102,5.8900998942554
350,700,4.0,0.011461318051575931,0.0011594202898550724,0.9,0.9,0.9977077363896848,0.8857142857142866,6.240273036062717
355,710,4.0,0.011299435028248588,0.001142857142857143,0.9,0.9,0.9977401129943503,0.8859154929577465,6.510297279804945
360,720,4.0,0.011142061281337047,0.0011267605633802818,0.9000000000000001,0.9,0.9977715877437325,0.8861111111111123,6.736977979540825
365,730,4.0,0.01098901098901099,0.0011111111111111111,0.9000000000000002,0.9,0.9978021978021978,0.8863013698630128,7.125406712293625
370,740,4.0,0.01084010840108401,0.001095890410958904,0.9000000000000004,0.9,0.9978319783197832,0.8864864864864879,7.362747471779585
375,750,4.0,0.0106951871657754,0.001081081081081081,0.9000000000000004,0.9,0.9978609625668449,0.8866666666666656,7.739717856049538
380,760,4.0,0.010554089709762533,0.0010666666666666667,0.9000000000000005,0.9,0.9978891820580474,0.8868421052631595,8.087082214653492
385,770,4.0,0.010416666666666666,0.0010526315789473684,0.9000000000000005,0.9,0.9979166666666667,0.8870129870129884,8.364033062011003
390,780,4.0,0.010282776349614395,0.001038961038961039,0.9000000000000006,0.9,0.9979434447300771,0.8871794871794859,8.773017302155495
395,790,4.0,0.01015228426395939,0.0010256410256410256,0.9000000000000007,0.9,0.9979695431472081,0.8873417721518999,9.164094798266888
400,800,4.0,0.010025062656641603,0.0010126582278481013,0.9000000000000001,0.9,0.9979949874686717,0.8875000000000008,9.468977723270655
405,810,4.0,0.009900990099009901,0.001,0.9000000000000002,0.9,0.998019801980198,0.8876543209876558,9.784255027770996
410,820,4.0,0.009779951100244499,0.0009876543209876543,0.9000000000000004,0.9,0.9980440097799511,0.8878048780487815,10.234498269855976
415,830,4.0,0.00966183574879227,0.000975609756097561,0.9000000000000004,0.9,0.9980676328502416,0.8879518072289159,10.647519949823618
420,840,4.0,0.00954653937947494,0.0009638554216867469,0.9000000000000005,0.9,0.9980906921241051,0.8880952380952377,11.066327132284641
425,850,4.0,0.009433962264150943,0.0009523809523809524,0.9000000000000005,0.9,0.9981132075471698,0.8882352941176473,11.363573804497719
430,860,4.0,0.009324009324009324,0.0009411764705882353,0.9000000000000006,0.9,0.9981351981351981,0.8883720930232553,11.786863964051008
435,870,4.0,0.009216589861751152,0.0009302325581395349,0.9000000000000006,0.9,0.9981566820276497,0.8885057471264354,12.139015551656485
440,880,4.0,0.009111617312072893,0.0009195402298850574,0.9000000000000002,0.9,0.9981776765375854,0.8886363636363637,12.830694455653429
445,890,4.0,0.009009009009009009,0.0009090909090909091,0.9000000000000002,0.9,0.9981981981981982,0.8887640449438211,13.132939025759697
450,900,4.0,0.008908685968819599,0.0008988764044943821,0.9000000000000004,0.9,0.998218262806236,0.8888888888888875,13.554435428231955
455,910,4.0,0.00881057268722467,0.0008888888888888889,0.9000000000000004,0.9,0.9982378854625551,0.889010989010989,14.054005194455385
460,920,4.0,0.008714596949891068,0.0008791208791208791,0.9000000000000005,0.9,0.9982570806100218,0.88913043478261,14.338041376322508
465,930,4.0,0.008620689655172414,0.0008695652173913044,0.9000000000000005,0.9,0.9982758620689656,0.8892473118279588,14.67757947742939
470,940,4.0,0.008528784648187633,0.0008602150537634409,0.9000000000000006,0.9,0.9982942430703625,0.8893617021276609,15.185496252030134
475,950,4.0,0.008438818565400843,0.000851063829787234,0.9000000000000006,0.9,0.9983122362869198,0.8894736842105256,15.654311578720808
480,960,4.0,0.008350730688935281,0.0008421052631578948,0.9000000000000002,0.9,0.998329853862213,0.8895833333333351,16.18903049826622
485,970,4.0,0.008264462809917356,0.0008333333333333334,0.9000000000000002,0.9,0.9983471074380166,0.8896907216494855,16.78608676046133
490,980,4.0,0.0081799591002045,0.0008247422680412372,0.9000000000000004,0.9,0.9983640081799591,0.8897959183673466,16.959702365100384
495,990,4.0,0.008097165991902834,0.0008163265306122449,0.9000000000000004,0.9,0.9983805668016195,0.8898989898989904,17.411239854991436
500,1000,4.0,0.008016032064128256,0.0008080808080808081,0.9000000000000005,0.9,0.9983967935871744,0.8900000000000012,17.935912057757378
