Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
5,5,2.0,0.5,0.5,0,0.6,0.8,0.059999999999999984,0.0021290183067321777
10,22,4.4,0.4888888888888889,0.3333333333333333,0,0.6363636363636364,0.8,0.025826446280991663,0.007110953330993652
15,45,6.0,0.42857142857142855,0.35714285714285715,0,0.4,0.7142857142857143,0.031111111111111145,0.01770086959004402
20,93,9.3,0.48947368421052634,0.3157894736842105,0,0.6236559139784946,0.7736842105263158,0.06411145797201995,0.02360699698328972
25,141,11.28,0.47,0.3333333333333333,0,0.5177304964539007,0.7566666666666667,0.06790402897238565,0.24516288563609123
30,204,13.6,0.4689655172413793,0.3448275862068966,0,0.46078431372549017,0.7218390804597701,0.06903594771241825,0.04213588312268257
35,266,15.2,0.4470588235294118,0.35294117647058826,0,0.45112781954887216,0.7277310924369748,0.08661456272259593,0.061812303960323334
40,357,17.85,0.4576923076923077,0.3076923076923077,0,0.5238095238095238,0.7525641025641026,0.0912168789084261,0.08545025438070297
45,442,19.644444444444446,0.44646464646464645,0.36363636363636365,0,0.45248868778280543,0.7242424242424242,0.09224319731373225,0.12177334725856781
50,526,21.04,0.4293877551020408,0.3673469387755102,0,0.4866920152091255,0.7020408163265306,0.10167669042490136,0.14929041266441345
55,620,22.545454545454547,0.4175084175084175,0.37037037037037035,0,0.3258064516129032,0.6989898989898989,0.09442377731529658,0.21882644668221474
60,735,24.5,0.4152542372881356,0.3728813559322034,0,0.33877551020408164,0.6966101694915254,0.08924707297885144,0.2719494327902794
65,860,26.46153846153846,0.41346153846153844,0.421875,0,0.30116279069767443,0.7028846153846153,0.12560100054083279,0.3526274710893631
70,1035,29.571428571428573,0.42857142857142855,0.43478260869565216,0,0.32560386473429953,0.6824016563146998,0.08412144974211765,0.6290018036961555
75,1179,31.44,0.42486486486486486,0.43243243243243246,0,0.3299406276505513,0.6879279279279279,0.1077773964940602,0.5346665978431702
80,1371,34.275,0.43386075949367087,0.4177215189873418,0,0.3588621444201313,0.6892405063291139,0.10510757107341248,0.8365788199007511
85,1590,37.411764705882355,0.44537815126050423,0.40476190476190477,0,0.4490566037735849,0.6896358543417367,0.09921897867964086,0.9266196116805077
90,1808,40.17777777777778,0.45143570536828964,0.4157303370786517,0,0.42367256637168144,0.6838951310861423,0.0721395873306445,1.0705126151442528
95,2008,42.27368421052632,0.4497200447928332,0.40425531914893614,0,0.4855577689243028,0.7014557670772676,0.08357704639608898,1.3812305442988873
100,2198,43.96,0.444040404040404,0.41414141414141414,0,0.47224749772520475,0.696969696969697,0.08507558364333202,1.5515401884913445
105,2442,46.51428571428571,0.4472527472527473,0.41346153846153844,0,0.4995904995904996,0.7073260073260074,0.08658644684443209,1.9186966307461262
110,2719,49.43636363636364,0.4535446205170976,0.44036697247706424,0,0.5137918352335418,0.6970809007506256,0.07665183138393405,2.099328938871622
115,3038,52.834782608695654,0.4634630053394355,0.43859649122807015,0,0.5362080315997366,0.6962623951182304,0.07061037479614153,2.4952844716608524
120,3334,55.56666666666667,0.4669467787114846,0.44537815126050423,0,0.5437912417516497,0.6928571428571428,0.0690991525750039,2.92121160402894
125,3636,58.176,0.46916129032258064,0.4435483870967742,0,0.48624862486248627,0.7018064516129032,0.08690850176876867,3.604995336383581
130,3965,61.0,0.4728682170542636,0.4418604651162791,0,0.4943253467843632,0.6982707215265355,0.07713571938573495,4.09318433701992
135,4235,62.74074074074074,0.46821448313985625,0.43283582089552236,0,0.4809917355371901,0.6916528468767275,0.08367879410489694,4.580494794994593
