Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
10,45,9.0,1.0,0,1.0,1.0,1.0,0.0,0.10171539999999979,1
20,90,9.0,0.47368421052631576,0.1,0.8888888888888888,0.8888888888888888,0.8947368421052632,0.388641975308642,0.0010040999999993971,2
30,135,9.0,0.3103448275862069,0.04,0.9037037037037038,0.9037037037037037,0.9402298850574713,0.5702880658436214,0.0008547999999990452,3
40,180,9.0,0.23076923076923078,0.0625,0.694541910331384,0.8388888888888889,0.7974358974358975,0.47054012345679014,0.0014916999999989855,3
50,225,9.0,0.1836734693877551,0.04,0.7346491228070176,0.8488888888888889,0.8628571428571429,0.5722864197530864,0.0020185999999995374,4
60,270,9.0,0.15254237288135594,0.036,0.735438596491228,0.8333333333333334,0.8926553672316384,0.6115294924554184,0.001817499999997807,5
70,315,9.0,0.13043478260869565,0.03333333333333333,0.7873015873015873,0.7873015873015873,0.9445134575569358,0.6443940539178634,0.0060131000000005486,7
80,360,9.0,0.11392405063291139,0.03,0.7944444444444445,0.7944444444444444,0.9531645569620253,0.6693479938271605,0.0029646999999997092,8
90,405,9.0,0.10112359550561797,0.0275,0.8074074074074075,0.8074074074074075,0.9610486891385768,0.6962749580856576,0.004520800000001657,9
100,450,9.0,0.09090909090909091,0.01875,0.7236842105263157,0.8333333333333334,0.9292929292929293,0.692795061728395,0.004851600000002065,8
110,495,9.0,0.08256880733944955,0.02,0.7666240953597275,0.8282828282828283,0.9216013344453712,0.6876604428119579,0.002535200000000515,9
120,540,9.0,0.07563025210084033,0.015925925925925927,0.7055320293069838,0.8314814814814815,0.9184873949579831,0.6904972565157751,0.004003399999998436,9
130,585,9.0,0.06976744186046512,0.013,0.7209397055858034,0.8273504273504273,0.9282051282051282,0.7031295200525969,0.00650890000000004,10
140,630,9.0,0.06474820143884892,0.011666666666666667,0.7096757044125463,0.8301587301587302,0.9471736896197328,0.7285852859662383,0.007157699999996936,11
150,675,9.0,0.06040268456375839,0.015714285714285715,0.7888594164456234,0.8311111111111111,0.952751677852349,0.7388587105624143,0.008209399999998368,13
160,720,9.0,0.05660377358490566,0.014666666666666666,0.8119298245614036,0.8375,0.9737421383647799,0.7677179783950617,0.007489199999998419,15
170,765,9.0,0.05325443786982249,0.015,0.7201814058956916,0.8143790849673203,0.9576052906369649,0.7324114656755949,0.009403700000000015,14
180,810,9.0,0.05027932960893855,0.010625,0.7286880995592429,0.8407407407407408,0.9529484792054624,0.7532114007011127,0.0060394000000023595,14
190,855,9.0,0.047619047619047616,0.013333333333333334,0.6855111917725348,0.839766081871345,0.9513227513227513,0.7537970657638248,0.012833700000001613,14
200,900,9.0,0.04522613065326633,0.011578947368421053,0.7523946360153257,0.84,0.9553768844221106,0.7576765432098763,0.007394299999997855,16
210,945,9.0,0.0430622009569378,0.0115,0.7883040935672515,0.8359788359788359,0.9767600820232399,0.7790722544161698,0.006904099999999858,19
220,990,9.0,0.0410958904109589,0.010476190476190476,0.7874561403508773,0.8353535353535354,0.9781652137816521,0.7813636363636363,0.00588600000000028,20
230,1035,9.0,0.039301310043668124,0.01,0.7844333054859371,0.8260869565217391,0.9787355230681603,0.7749875142943826,0.0062053000000013014,21
240,1080,9.0,0.03765690376569038,0.009047619047619047,0.7970393591083248,0.8194444444444444,0.9759414225941423,0.767221364883402,0.0163341999999993,22
250,1125,9.0,0.03614457831325301,0.009583333333333333,0.7079070601151667,0.824,0.95514859437751,0.7518723950617282,0.007799500000000847,18
260,1170,9.0,0.03474903474903475,0.0068,0.7817982456140351,0.8162393162393162,0.9812889812889813,0.7717740521586677,0.014091099999998136,24
270,1215,9.0,0.03345724907063197,0.006538461538461538,0.7914979757085021,0.8074074074074075,0.984359080269861,0.7675845484258836,0.009844900000000933,26
280,1260,9.0,0.03225806451612903,0.005925925925925926,0.7703908045977012,0.8142857142857143,0.9777777777777777,0.7684662383471907,0.009618399999997251,25
290,1305,9.0,0.031141868512110725,0.005714285714285714,0.7840155945419104,0.8153256704980842,0.9837250924710655,0.7762111536824182,0.008358499999999935,27
300,1350,9.0,0.030100334448160536,0.005517241379310344,0.7940012662234885,0.82,0.9757859531772575,0.7734310013717421,0.009631399999999957,27
310,1395,9.0,0.02912621359223301,0.005333333333333333,0.7507039202945637,0.8157706093189964,0.9809165883703935,0.7752703588083402,0.013478700000000288,27
320,1440,9.0,0.02821316614420063,0.005161290322580645,0.799113374834937,0.8138888888888889,0.9875391849529781,0.7806459780092595,0.01244349999999983,31
330,1485,9.0,0.02735562310030395,0.005,0.7812299566119602,0.8094276094276094,0.9858892880169476,0.7753535353535355,0.020232599999999934,31
