Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
25,50,4.0,0.16666666666666666,0.07575757575757576,0,0.54,0.92,0.39919999999999994,0.026177309453487396
50,225,9.0,0.1836734693877551,0.20408163265306123,0,0.04888888888888889,0.8261224489795919,0.0191506172839506,0.19869091734290123
75,525,14.0,0.1891891891891892,0.24324324324324326,0,0.08571428571428572,0.8234234234234235,0.0478331065759637,0.4704163633286953
100,950,19.0,0.1919191919191919,0.21212121212121213,0,0.08526315789473685,0.8195959595959595,0.05380886426592789,1.2187626473605633
125,1500,24.0,0.1935483870967742,0.20967741935483872,0,0.11466666666666667,0.8181935483870968,0.07241155555555569,2.382060218602419
150,2175,29.0,0.19463087248322147,0.24161073825503357,0,0.10620689655172413,0.8153020134228188,0.06583104769454351,4.03517223149538
175,2975,34.0,0.19540229885057472,0.22413793103448276,0,0.11159663865546218,0.8176683087027915,0.07151613586611083,6.853647854179144
200,3900,39.0,0.19597989949748743,0.22110552763819097,0,0.11512820512820512,0.815678391959799,0.07408836291913229,10.417569413781166
225,4950,44.0,0.19642857142857142,0.21875,0,0.12181818181818181,0.815595238095238,0.0784553412917051,15.049786284565926
250,6125,49.0,0.19678714859437751,0.20883534136546184,0,0.10922448979591837,0.8143935742971887,0.07077520366513942,19.54107292369008
