Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
5,10,4.0,1.0,0,1.0,1.0,1.0,0.0,0.000664000000000442,1
10,39,7.8,0.8666666666666667,0.5555555555555556,0,0.8717948717948718,0.8444444444444444,-0.008218277449046681,0.0039245000000001085,2
15,61,8.133333333333333,0.580952380952381,0.21428571428571427,0,0.7868852459016393,0.8095238095238095,0.027277613544746063,0.011148699999999678,5
20,74,7.4,0.3894736842105263,0.3684210526315789,0,0.43243243243243246,0.7578947368421053,0.03140978816654492,0.04219670000000164,12
25,84,6.72,0.28,0.16666666666666666,0,0.38095238095238093,0.8133333333333334,0.08878968253968254,0.06886030000000076,17
30,150,10.0,0.3448275862068966,0.20689655172413793,0,0.38666666666666666,0.7701149425287356,0.016244444444444398,0.11497360000000256,19
35,198,11.314285714285715,0.33277310924369746,0.17647058823529413,0,0.4797979797979798,0.8100840336134454,0.07640801958983777,0.25769349999999847,21
40,173,8.65,0.22179487179487178,0.15333333333333332,0,0.23699421965317918,0.8256410256410256,0.08363126065020547,0.15649259999999998,31
45,267,11.866666666666667,0.2696969696969697,0.22727272727272727,0,0.46441947565543074,0.8262626262626263,0.015058424160810288,0.3027901999999969,28
50,197,7.88,0.16081632653061226,0.10087719298245613,0,0.25888324873096447,0.8685714285714285,0.10413821536241591,0.38366450000000185,39
55,258,9.381818181818181,0.17373737373737375,0.12962962962962962,0,0.4844961240310077,0.8868686868686869,0.24985728021152562,0.27261890000000477,31
60,276,9.2,0.15593220338983052,0.0847457627118644,0,0.3695652173913043,0.8909604519774011,0.20588505566057558,0.40446719999999914,39
65,423,13.015384615384615,0.20336538461538461,0.140625,0,0.32860520094562645,0.8567307692307692,0.13203561189074994,0.5013597000000019,48
70,507,14.485714285714286,0.20993788819875778,0.17391304347826086,0,0.1301775147928994,0.8173913043478261,0.014841528268929259,1.1114508,59
75,373,9.946666666666667,0.1344144144144144,0.06756756756756757,0,0.15013404825737264,0.885045045045045,0.0856507270231225,0.9592880000000008,63
80,450,11.25,0.14240506329113925,0.08860759493670886,0,0.32,0.8981012658227848,0.21599259259259246,0.7633227999999974,56
85,515,12.117647058823529,0.14425770308123248,0.09523809523809523,0,0.1436893203883495,0.8753501400560224,0.044262418701102826,1.1675845000000038,73
90,626,13.911111111111111,0.15630461922596753,0.033707865168539325,0,0.1964856230031949,0.8711610486891386,0.10392573160897829,1.3748236999999932,74
95,632,13.305263157894737,0.14154535274356103,0.10638297872340426,0,0.32436708860759494,0.8954087346024636,0.17688095858035555,1.5307080000000042,66
100,799,15.98,0.16141414141414143,0.131875,0,0.21151439299123906,0.8684848484848485,0.08596242800371544,2.3160179999999997,81
105,814,15.504761904761905,0.14908424908424908,0.0673076923076923,0,0.28378378378378377,0.8805860805860806,0.07370177302609718,2.277478099999996,81
110,732,13.309090909090909,0.12210175145954963,0.10091743119266056,0,0.09016393442622951,0.888907422852377,0.043362186090955185,2.9576104,99
115,775,13.478260869565217,0.11823035850495804,0.07017543859649122,0,0.1329032258064516,0.8971777269260107,0.07347180020811665,2.992183400000002,101
120,856,14.266666666666667,0.11988795518207283,0.05042016806722689,0,0.0911214953271028,0.8910364145658264,0.05849992357411129,2.296999999999997,108
125,1083,17.328,0.13974193548387095,0.0967741935483871,0,0.1172668513388735,0.8754838709677419,0.03847124493451638,3.473926900000002,109
130,1046,16.092307692307692,0.12474657125819917,0.09302325581395349,0,0.29732313575525815,0.90304114490161,0.16593898635976476,2.6379816999999974,92
135,1144,16.94814814814815,0.12647871752349366,0.16417910447761194,0,0.19405594405594406,0.8920950801547817,0.07554350151596646,4.444963000000001,112
140,1076,15.371428571428572,0.1105858170606372,0.10521281683405069,0,0.1171003717472119,0.9013360739979445,0.06221324332167871,3.7773990999999967,124
145,1266,17.46206896551724,0.12126436781609196,0.0763888888888889,0,0.1406003159557662,0.8946360153256705,0.05342984209698785,4.556927099999996,126
150,1287,17.16,0.11516778523489933,0.03355704697986577,0,0.2556332556332556,0.9098881431767338,0.1293833077049863,6.683278200000004,123
155,1371,17.690322580645162,0.11487222454964391,0.06493506493506493,0,0.2399708242159008,0.909509844993716,0.16826298213329008,8.004364800000005,118
160,1206,15.075,0.09481132075471699,0.028965517241379312,0,0.38723051409618575,0.9345125786163522,0.24529473967916054,4.6871241000000055,107
165,1664,20.169696969696968,0.1229859571322986,0.10344827586206896,0,0.2091346153846154,0.8984478935698448,0.0942801752034022,6.7123189,137
170,1293,15.211764705882352,0.09001044204664115,0.023668639053254437,0,0.12451662799690642,0.9205012182387748,0.07101538476261902,7.934718000000004,152
175,1410,16.114285714285714,0.09261083743842365,0.04,0,0.34397163120567376,0.93247947454844,0.23157713394698498,9.813504800000004,129
180,1504,16.711111111111112,0.09335816263190565,0.055865921787709494,0,0.15757978723404256,0.919056486654252,0.10427689282480763,8.898327500000008,152
185,2351,25.416216216216217,0.1381316098707403,0.125,0,0.23819651212250106,0.8863689776733255,0.034487075827349126,12.241520999999992,148
190,1622,17.073684210526316,0.09033695349484823,0.037037037037037035,0,0.2342786683107275,0.9272626009468115,0.15921150457412778,6.840400599999981,142
195,1561,16.01025641025641,0.08252709489822892,0.04593522802379379,0,0.42664958360025623,0.9490351572825799,0.33993920518598597,8.374991600000016,115
200,1987,19.87,0.09984924623115578,0.04522613065326633,0,0.19325616507297433,0.91356783919598,0.09625955727832324,9.877469099999985,160
